13;China;NULL;3
14;França;NULL;3
15;Brasil;NULL;3
16;Taipé Chinesa;NULL;3
17;Japão;NULL;3
18;Alemanha;NULL;3
19;Coreia do Sul;NULL;3
20;Portugal;NULL;3
21;Eslovênia;NULL;3
22;Nigéria;NULL;3
23;Egito;NULL;3
24;Dinamarca;NULL;3
25;Espanha;NULL;3
26;Canadá;NULL;3
27;Austrália;NULL;3
28;Índia;NULL;3
29;Grã-Bretanha;NULL;3
30;Romênia;NULL;3
31;Cazaquistão;NULL;3
32;Hong Kong;NULL;3
33;Irã;NULL;3
34;Croácia;NULL;3
35;Cuba;NULL;3
36;Chile;NULL;3
37;Áustria;NULL;3
38;Eslováquia;NULL;3
39;Porto Rico;NULL;3
40;Equador;NULL;3
41;Bélgica;NULL;3
42;Argentina;NULL;3
43;México;NULL;3
44;Singapura;NULL;3
45;Senegal;NULL;3
46;Luxemburgo;NULL;3
47;Grécia;NULL;3
48;Algéria;NULL;3
49;Estados Unidos;NULL;3
50;Madagascar;NULL;3
51;Ucrânia;NULL;3
52;Fiji;NULL;3
53;Moldávia;NULL;3
54;Jordânia;NULL;3
55;Nepal;NULL;3
56;Suécia;NULL;3
57;Indonésia;NULL;3
58;Congo;NULL;3
59;Polônia;NULL;3
