1;2024-07-27 10:00:00.000;4;0;49;53
2;2024-07-27 10:45:00.000;4;0;28;54
3;2024-07-27 10:45:00.000;4;0;45;55
4;2024-07-27 15:00:00.000;0;4;41;56
5;2024-07-27 15:00:00.000;1;4;22;33
6;2024-07-27 15:45:00.000;0;4;46;24
7;2024-07-27 15:45:00.000;0;4;48;34
8;2024-07-27 16:30:00.000;0;4;43;18
9;2024-07-27 16:30:00.000;4;0;31;36
10;2024-07-27 17:15:00.000;4;3;40;27
11;2024-07-27 17:15:00.000;4;3;30;22
12;2024-07-28 05:00:00.000;2;4;19;49
13;2024-07-28 05:00:00.000;4;1;23;50
14;2024-07-28 05:45:00.000;4;1;13;38
15;2024-07-28 05:45:00.000;4;1;16;33
16;2024-07-28 06:30:00.000;3;4;58;56
17;2024-07-28 06:30:00.000;2;4;28;21
18;2024-07-28 07:15:00.000;0;4;26;17
19;2024-07-28 07:15:00.000;0;4;23;59
20;2024-07-28 08:00:00.000;4;2;21;44
21;2024-07-28 08:00:00.000;4;1;19;39
